"","X","rideable_type","member_casual","year","month","monthname","rides"
"1",1,"classic_bike","casual",2019,1,"Jan",4602
"2",2,"classic_bike","casual",2019,2,"Feb",2638
"3",3,"classic_bike","casual",2019,3,"Mar",15923
"4",4,"classic_bike","casual",2019,4,"Apr",47744
"5",5,"classic_bike","casual",2019,5,"May",81624
"6",6,"classic_bike","casual",2019,6,"Jun",130218
"7",7,"classic_bike","casual",2019,7,"Jul",175632
"8",8,"classic_bike","casual",2019,8,"Aug",186889
"9",9,"classic_bike","casual",2019,9,"Sep",129173
"10",10,"classic_bike","casual",2019,10,"Oct",71035
"11",11,"classic_bike","casual",2019,11,"Nov",18729
"12",12,"classic_bike","casual",2019,12,"Dec",16430
"13",13,"classic_bike","member",2019,1,"Jan",98670
"14",14,"classic_bike","member",2019,2,"Feb",93548
"15",15,"classic_bike","member",2019,3,"Mar",149688
"16",16,"classic_bike","member",2019,4,"Apr",217566
"17",17,"classic_bike","member",2019,5,"May",285834
"18",18,"classic_bike","member",2019,6,"Jun",345177
"19",19,"classic_bike","member",2019,7,"Jul",381683
"20",20,"classic_bike","member",2019,8,"Aug",403295
"21",21,"classic_bike","member",2019,9,"Sep",364046
"22",22,"classic_bike","member",2019,10,"Oct",300751
"23",23,"classic_bike","member",2019,11,"Nov",158447
"24",24,"classic_bike","member",2019,12,"Dec",138662
"25",1,"classic_bike","casual",2020,12,"Dec",11319
"26",2,"classic_bike","member",2020,12,"Dec",59297
"27",3,"docked_bike","casual",2020,1,"Jan",7785
"28",4,"docked_bike","casual",2020,2,"Feb",12870
"29",5,"docked_bike","casual",2020,3,"Mar",27825
"30",6,"docked_bike","casual",2020,4,"Apr",23628
"31",7,"docked_bike","casual",2020,5,"May",86909
"32",8,"docked_bike","casual",2020,6,"Jun",154718
"33",9,"docked_bike","casual",2020,7,"Jul",268456
"34",10,"docked_bike","casual",2020,8,"Aug",261201
"35",11,"docked_bike","casual",2020,9,"Sep",171774
"36",12,"docked_bike","casual",2020,10,"Oct",79883
"37",13,"docked_bike","casual",2020,11,"Nov",46013
"38",14,"docked_bike","casual",2020,12,"Dec",4968
"39",15,"docked_bike","member",2020,1,"Jan",136099
"40",16,"docked_bike","member",2020,2,"Feb",126715
"41",17,"docked_bike","member",2020,3,"Mar",115593
"42",18,"docked_bike","member",2020,4,"Apr",61148
"43",19,"docked_bike","member",2020,5,"May",113365
"44",20,"docked_bike","member",2020,6,"Jun",188287
"45",21,"docked_bike","member",2020,7,"Jul",281089
"46",22,"docked_bike","member",2020,8,"Aug",294965
"47",23,"docked_bike","member",2020,9,"Sep",232832
"48",24,"docked_bike","member",2020,10,"Oct",156594
"49",25,"docked_bike","member",2020,11,"Nov",105569
"50",26,"docked_bike","member",2020,12,"Dec",8036
"51",27,"electric_bike","casual",2020,7,"Jul",840
"52",28,"electric_bike","casual",2020,8,"Aug",28460
"53",29,"electric_bike","casual",2020,9,"Sep",58918
"54",30,"electric_bike","casual",2020,10,"Oct",65129
"55",31,"electric_bike","casual",2020,11,"Nov",42086
"56",32,"electric_bike","casual",2020,12,"Dec",13793
"57",33,"electric_bike","member",2020,7,"Jul",1095
"58",34,"electric_bike","member",2020,8,"Aug",37735
"59",35,"electric_bike","member",2020,9,"Sep",69434
"60",36,"electric_bike","member",2020,10,"Oct",87047
"61",37,"electric_bike","member",2020,11,"Nov",66048
"62",38,"electric_bike","member",2020,12,"Dec",34160
"63",1,"classic_bike","casual",2021,1,"Jan",8259
"64",2,"classic_bike","casual",2021,2,"Feb",5695
"65",3,"classic_bike","casual",2021,3,"Mar",45528
"66",4,"classic_bike","casual",2021,4,"Apr",70776
