"","rideable_type","member_casual","year","month","monthname","rides"
"1","classic_bike","casual","2020","12","Dec",11319
"2","classic_bike","member","2020","12","Dec",59297
"3","docked_bike","casual","2020","01","Jan",7785
"4","docked_bike","casual","2020","02","Feb",12870
"5","docked_bike","casual","2020","03","Mar",27825
"6","docked_bike","casual","2020","04","Apr",23628
"7","docked_bike","casual","2020","05","May",86909
"8","docked_bike","casual","2020","06","Jun",154718
"9","docked_bike","casual","2020","07","Jul",268456
"10","docked_bike","casual","2020","08","Aug",261201
"11","docked_bike","casual","2020","09","Sep",171774
"12","docked_bike","casual","2020","10","Oct",79883
"13","docked_bike","casual","2020","11","Nov",46013
"14","docked_bike","casual","2020","12","Dec",4968
"15","docked_bike","member","2020","01","Jan",136099
"16","docked_bike","member","2020","02","Feb",126715
"17","docked_bike","member","2020","03","Mar",115593
"18","docked_bike","member","2020","04","Apr",61148
"19","docked_bike","member","2020","05","May",113365
"20","docked_bike","member","2020","06","Jun",188287
"21","docked_bike","member","2020","07","Jul",281089
"22","docked_bike","member","2020","08","Aug",294965
"23","docked_bike","member","2020","09","Sep",232832
"24","docked_bike","member","2020","10","Oct",156594
"25","docked_bike","member","2020","11","Nov",105569
"26","docked_bike","member","2020","12","Dec",8036
"27","electric_bike","casual","2020","07","Jul",840
"28","electric_bike","casual","2020","08","Aug",28460
"29","electric_bike","casual","2020","09","Sep",58918
"30","electric_bike","casual","2020","10","Oct",65129
"31","electric_bike","casual","2020","11","Nov",42086
"32","electric_bike","casual","2020","12","Dec",13793
"33","electric_bike","member","2020","07","Jul",1095
"34","electric_bike","member","2020","08","Aug",37735
"35","electric_bike","member","2020","09","Sep",69434
"36","electric_bike","member","2020","10","Oct",87047
"37","electric_bike","member","2020","11","Nov",66048
"38","electric_bike","member","2020","12","Dec",34160
